A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,1.0,0.47991410718954264,2.1031104222222226,1.3105882352941178,0.48948446529148804
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,1.0,0.45729868758169895,2.0941387,1.3249411764705885,0.48963370231737735
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,1.0,0.45321701307189516,2.0870569444444445,1.3229411764705885,0.4854231572867942
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,1.0,0.48992010196078456,2.1227658666666667,1.3192941176470587,0.5225190161670894
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,1.0,0.48620448627450985,2.1159366666666664,1.3192941176470587,0.5209219669445917
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,1.0,0.480164737254902,2.1072344,1.3171764705882352,0.5156607080064066
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,1.0,0.4812362549019607,2.1213455666666663,1.3185882352941176,0.5361837005675214
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,1.0,0.4851618764705882,2.112963533333333,1.3103529411764705,0.5302980265940958
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,1.0,0.4667627869281043,2.104343188888889,1.3205882352941178,0.5271771024302145
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,1.0,0.32235012,1.90831608,1.3371,0.3279140369747233
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,1.0,0.32164132,1.90317946,1.3347,0.3239019184537184
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,1.0,0.31713128,1.894048,1.3326,0.3143321440185822
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,1.0,0.29635387999999996,1.87788008,1.3326,0.2742856808259073
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,1.0,0.29496690000000014,1.8719571000000002,1.3296,0.26787493272209595
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,1.0,0.29077775999999994,1.86614976,1.3279,0.26067818335897286
1.1564,1.0098,1.6042,1.325,1,185.9,20,4.7,1.0,0.2819361600000001,1.8550968800000003,1.325,0.24286064192469037
1.1552,1.009,1.5983,1.3219,1,185.9,20,4.7,1.0,0.27888759999999996,1.84635616,1.3219,0.2316740467072429
1.1558,1.0104,1.5924,1.3186,1,185.9,20,4.7,1.0,0.27664752000000004,1.84049592,1.3186,0.22542585745684196
1.1583,1.0365,1.5299,1.2782,0,54.8,19,4.9,1.0,0.26088705,1.7720831700000002,1.2782,0.13893636433011802
1.1575,1.0363,1.5263,1.2755,0,54.8,19,4.9,1.0,0.2599040399999999,1.76669225,1.2755,0.12957452134875003
