A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,-0.35634408161214126,2.247780289742359,0.4637649671643173,1.27181170193428
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,-0.44730541164192483,2.197026140183225,0.4847369526606754,1.26075674219176
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,-0.403879529980141,2.2292018934798103,0.4844740681396255,1.26628422206302
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,-0.43934044948162665,2.277709564536271,0.5133469174521043,1.27279436502251
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,-0.462264342391254,2.2681855233237895,0.5218443471386753,1.26996920864386
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,-0.4907768145231439,2.2617851325209593,0.5317650175159284,1.26726688515125
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,0.32140966850353236,2.1306460317597335,0.1642506832095161,1.295294117647059
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,0.31795280819630856,2.1341098993221155,0.16796907963440363,1.295294117647059
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,0.3195124566752481,2.1642553700454257,0.17448890626173366,1.299294117647059
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,0.3395649291505487,2.1378399790143314,0.1414052793768475,1.2963529411764707
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,0.31034650081946724,2.118018535321785,0.15620749898044536,1.2922352941176471
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,0.29797225571468555,2.1095704315135575,0.1623073503396447,1.2902352941176471
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,0.32332215040189194,2.2342573450272387,0.1361928166594993,1.3058823529411767
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,0.33078381281528224,2.2634646315620404,0.14243109396910358,1.31
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,0.2816340043113721,2.2087568777321294,0.15573313439995354,1.299764705882353
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,0.2366868708433869,2.3433639855093675,0.2821110716907099,1.3406
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,0.23347603557193697,2.3360665972395585,0.2861559841890635,1.3394
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,0.2101212088875506,2.3260292628705677,0.298626408114626,1.3368
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,0.2590884784989591,2.267927879357725,0.27193522142561394,1.3322
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,0.2519730087226111,2.2654416403096245,0.2761430969418034,1.331
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,0.2406025695874605,2.2453545346693495,0.2824596149853421,1.3278
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,0.17216507138550563,2.2393239256850968,0.32849768417736447,1.3252
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,0.16981957395996328,2.2351683352958345,0.3313496118845407,1.3243
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,0.1615461890326031,2.220805607056767,0.3359240179674142,1.3217
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,-0.1002607762385288,2.0705326412994647,0.4995780772208399,1.289
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,-0.10494894548727007,2.0685656062438116,0.5039730636582507,1.2881
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,-0.10742860599623683,2.065485096209102,0.5059956175594269,1.287
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,-0.1724841323401427,2.0118502865926478,0.5441877857143225,1.2739
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,-0.20080256931351226,2.0057808198896616,0.5542797035833731,1.2708
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,-0.22906052859743298,1.995699035560844,0.5689032968707551,1.2677
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,-0.27417790228959005,1.9589860319543602,0.5833346248558925,1.2587
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,-0.28907463458999993,1.9458977245007019,0.5900102777013676,1.2553
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,-0.2827580424609111,1.946329608548973,0.5942729077255413,1.2556
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,0.07579633285812881,2.068554631019552,0.27662736655900244,1.3105882352941178
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,0.13595270420227834,2.149500069231275,0.28302246933262887,1.3249411764705885
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,0.11676789136195964,2.14289142936328,0.2963008454642005,1.3229411764705885
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,0.055664435112179556,2.116194911643343,0.2982595577663112,1.3192941176470587
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,0.0313146989176154,2.1264711453326175,0.31285082872152836,1.3192941176470587
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,0.010668523880806857,2.1195479269253386,0.3295167578472718,1.3171764705882352
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,0.015748776873655723,2.1034608992081214,0.35647456312698983,1.3185882352941176
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,-0.05582158420943095,2.074804568891426,0.3768034034074649,1.3103529411764705
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,-0.0009223924794989902,2.1297649738560067,0.37898631053801646,1.3205882352941178
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,0.032603048414709734,2.418535308751684,0.38284405001058824,1.3371
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,-0.00045061093771581184,2.411397476454502,0.39707157916955005,1.3347
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,-0.02458855396386639,2.407293878946766,0.4084847967781185,1.3326
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,0.14413580799219328,2.373344338978785,0.32612580102009886,1.3326
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,0.12120523105810221,2.3594017117276285,0.33626971648537657,1.3296
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,0.11882138837456324,2.3474663790069794,0.3399672365227354,1.3279
1.1564,1.0098,1.6042,1.325,1,185.9,20,4.7,0.14285370734775804,2.3212140910220316,0.32904581537465977,1.325
1.1552,1.009,1.5983,1.3219,1,185.9,20,4.7,0.12537364129645812,2.309295706416956,0.3348922649080828,1.3219
1.1558,1.0104,1.5924,1.3186,1,185.9,20,4.7,0.10203515358448678,2.291047688986563,0.34835948779928766,1.3186
1.1583,1.0365,1.5299,1.2782,0,54.8,19,4.9,-0.28545803339945075,2.1393103972556577,0.5242608956168435,1.2782
1.1575,1.0363,1.5263,1.2755,0,54.8,19,4.9,-0.3066410832588131,2.1312602639687754,0.5288030593147135,1.2755
1.1578,1.035,1.5215,1.2735,0,54.8,19,4.9,-0.3122979544918967,2.121268699932435,0.5336966610999475,1.2735
1.162,1.0442,1.5272,1.2807,0,54.8,19,4.9,-0.30729665536540685,2.152839983606818,0.5547954698423033,1.2807
1.1627,1.0448,1.5226,1.278,0,54.8,19,4.9,-0.3274888858621676,2.1413212040496035,0.5655571062713264,1.278
1.1614,1.0453,1.517,1.279,0,54.8,19,4.9,-0.3374816118977395,2.1554678198038153,0.5735827559294147,1.279
