A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,0.758219486563579,1.3322,-0.7409620256870002,1.0101,1.0,2.5035,-1.0979914450817678,2.420321264696371
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,0.7582268970698723,1.331,-0.7369647788799998,1.0092,1.0,2.5015,-1.097754922936206,2.4085923468076262
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,0.7593764121102575,1.3278,-0.7330743035880003,1.0083,1.0,2.4986,-1.097278680610112,2.3937760882096564
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,0.7717325686688802,1.3252,-0.6967497325979998,1.0227,1.0,2.4989999999999997,-1.099348514108464,2.3834216194999964
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,0.7713509023635129,1.3243,-0.6948155033999998,1.0215,1.0,2.4979,-1.0999365072329257,2.3734980165942794
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,0.7717333736854051,1.3217,-0.6920129500000003,1.02,1.0,2.4952,-1.0995744134692382,2.3591546341923353
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,0.8083785880527542,1.289,-0.5826289256,1.042,1.0,2.4736000000000002,-1.101659448033022,2.2135333989144983
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,0.8082447014983308,1.2881,-0.5794907685970002,1.0411,1.0,2.4724,-1.1022886113847044,2.2031772353960775
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,0.8076146076146078,1.287,-0.5779387314679997,1.0394,1.0,2.4707,-1.1024964413457867,2.1923649894421096
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,0.8137216422011146,1.2739,-0.5559304334880002,1.0366,1.0,2.4591000000000003,-1.1016949832760177,2.1278248577543977
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,0.8164148567831289,1.2708,-0.5478238468749997,1.0375,1.0,2.4553000000000003,-1.0997752940018903,2.115984052692486
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,0.820146722410665,1.2677,-0.5387195453049998,1.0397,1.0,2.4532,-1.099164262447734,2.106097521778067
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,0.8254548343529038,1.2587,-0.5321651814000002,1.039,1.0,2.4453,-1.0944870657374846,2.083879436168092
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,0.8268143073368915,1.2553,-0.5289581149709998,1.0379,1.0,2.4422,-1.093594227580105,2.0705111953692255
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,0.8257406817457789,1.2556,-0.5268593408480002,1.0368,1.0,2.4429,-1.0961278395916318,2.0613362029837985
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,0.8152064631956911,1.3105882352941178,-0.7389293951662227,1.0684,1.0,2.5056882352941177,-1.0633698668258584,2.651236212558304
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,0.80546972118629,1.3249411764705885,-0.7339315122880001,1.0672,1.0,2.5192411764705884,-1.078923909757973,2.646635856765416
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,0.8074433081369496,1.3229411764705885,-0.7240712382644443,1.0682,1.0,2.517441176470588,-1.079440063289135,2.629913637491982
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,0.8214999108257537,1.3192941176470587,-0.7150983345706662,1.0838,1.0,2.517694117647059,-1.0708415383006633,2.684537508640721
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,0.8237738541109328,1.3192941176470587,-0.701292187418667,1.0868,1.0,2.5169941176470587,-1.0712139154791516,2.6736323698085367
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,0.8257056091461236,1.3171764705882352,-0.6899150607680001,1.0876,1.0,2.515376470588235,-1.0726898359578976,2.6522422421239145
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,0.8295235546038545,1.3185882352941176,-0.6781301284946663,1.0938,1.0,2.5248882352941173,-1.0847339726740333,2.6484335745999568
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,0.8377132339737834,1.3103529411764705,-0.6600405026513338,1.0977,1.0,2.5161529411764705,-1.0776689573796794,2.6277887813927836
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,0.829327394209354,1.3205882352941178,-0.6593500646008894,1.0952,1.0,2.525288235294118,-1.0886281113244862,2.622300825736083
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,0.7870765088624636,1.3371,-0.6222339434880001,1.0524,1.0,2.4983,-1.0904193592331453,2.4090518171978594
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,0.7908893384281113,1.3347,-0.609598620176,1.0556,1.0,2.4956,-1.089251285911138,2.398354555558303
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,0.7927360048026415,1.3326,-0.5995100863999999,1.0564,1.0,2.4926,-1.08887459762422,2.381980133225182
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,0.765270898994447,1.3326,-0.6747132889240003,1.0198,1.0,2.4895,-1.0906236379299046,2.359302258970081
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,0.7679001203369434,1.3296,-0.6662698394000003,1.021,1.0,2.4862,-1.0893092480061828,2.3465877647516447
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,0.7675276752767528,1.3279,-0.6645021972479996,1.0192,1.0,2.4847,-1.0904120250450797,2.3329154984371936
