A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,-3.6877598795621456,-0.43019613021415415,7.349326413300245,1.7522253453894374,2.078024,-0.012999999999999864
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,-4.2440119292570975,-0.36598313445377245,4.762085537074387,1.7622393720341687,2.09600662,-0.005817610000000142
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,-4.174658517096157,-0.38369953268755463,4.653615576126302,1.7557787988720952,2.0869886,-0.008123560000000236
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,-4.203010635449898,-0.39217641566131783,4.392092786956193,1.752958643599336,2.0817105600000003,-0.010286240000000153
1.1564,1.0098,1.6042,1.325,1,185.9,20,4.7,-4.316740689864444,-0.39252630117871445,3.878555080711039,1.7545020991526794,2.0773327200000002,-0.012260960000000386
1.1552,1.009,1.5983,1.3219,1,185.9,20,4.7,-4.298805410338403,-0.40777166247395047,3.734776586224078,1.747927654743531,2.0677968,-0.012587039999999857
1.1558,1.0104,1.5924,1.3186,1,185.9,20,4.7,-4.219014042745033,-0.4290468650873312,3.6272233286771907,1.7405831997194572,2.05802032,-0.017273639999999844
1.1583,1.0365,1.5299,1.2782,0,54.8,19,4.9,-3.1079681699953756,-0.6680268831074087,2.7516028467377835,1.6781466481380052,1.93567795,-0.06345889000000027
1.1575,1.0363,1.5263,1.2755,0,54.8,19,4.9,-3.0557758832749844,-0.6786996835349868,2.700085021035176,1.6745207322131477,1.92871725,-0.06430624999999979
1.1578,1.035,1.5215,1.2735,0,54.8,19,4.9,-3.0492166309783006,-0.6883967350332062,2.6132647798913844,1.6714815777220589,1.9233230000000001,-0.0670008399999997
1.162,1.0442,1.5272,1.2807,0,54.8,19,4.9,-3.168569524050887,-0.6778106639185302,2.709967758648247,1.6839039503427118,1.9328603999999998,-0.0695439999999998
1.1627,1.0448,1.5226,1.278,0,54.8,19,4.9,-3.1046487867432715,-0.6912296372007328,2.6366670371359926,1.6819782788105466,1.92578896,-0.07387129000000014
1.1614,1.0453,1.517,1.279,0,54.8,19,4.9,-3.285046974878422,-0.6970724035931576,2.5422810672837475,1.6783429596113941,1.9194114199999999,-0.06984995999999995
