B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
10721,9824,8854,8676,11250,12315,10381,1,105926576,-6064057542424436234,-932349262329.5176,1.0,-4949259315614.772,6.414549183876204e-12,8854,1468002120472.2441
10630,9751,8783,8512,11317,11733,10050,1,98287761,-4910081127696921367,-910207494204.4017,1.0,-4748236658056.999,7.98045957338283e-12,8783,1383419271237.0488
10613,9749,8826,8635,11670,12479,10320,1,104540486,-6363672120639457494,-913013180734.8293,1.0,-5178434158514.698,5.712984318633477e-12,8826,1494529499649.2183
10618,9741,8788,8575,10745,11851,10417,1,106304319,-4947714456635368562,-908764293027.0895,1.0,-4510487336299.116,7.690378355554276e-12,8788,1408784033534.876
10671,9814,8851,8599,10328,11467,10300,1,103503485,-3971592682629199149,-926742209579.0,1.0,-4254038305737.443,9.971531193752228e-12,8851,1321001947341.5435
10619,9781,8868,8707,11005,12374,10492,1,108402270,-5726819895404251936,-920889684525.6536,1.0,-4835218440064.594,6.174380572210755e-12,8868,1450656362309.8872
10573,9718,8775,8632,11161,12346,10319,1,105015377,-5934672543464610657,-901439330934.1182,1.0,-4870379074724.908,6.1832442345949036e-12,8775,1431955230392.0835
10717,9837,8902,8773,11558,12299,10317,1,105118849,-6013974251236552433,-938293834411.4349,1.0,-5172160001508.159,6.215306044876818e-12,8902,1481068659272.6414
10674,9786,8853,8637,10503,11836,10481,1,107596797,-4714993226874513459,-924567028266.3834,1.0,-4427337309820.122,7.96410817139884e-12,8853,1391091002719.8625
10737,9872,8883,8711,11112,11989,10225,1,102800989,-5279592829569082317,-941376191222.3438,1.0,-4832008377787.332,7.516241200167491e-12,8883,1404242642537.994
10761,9874,8880,8627,10835,11981,10230,1,102073693,-5124712754212441860,-943354006589.5198,1.0,-4638975711644.811,7.845020911592426e-12,8880,1374104774719.7634
10706,9830,8831,8559,10422,11284,10146,1,100190479,-3794065564779553669,-929193643241.5894,1.0,-4250680445882.2354,1.1338264989027244e-11,8831,1300643093266.7322
10629,9753,8797,8563,11070,11748,10107,1,99795328,-4796574728540268875,-911759328355.339,1.0,-4657412488992.227,8.047055414127032e-12,8797,1366312266480.6719
10619,9739,8826,8637,10686,12006,10480,1,107859058,-5063480049621414934,-912592802787.4678,1.0,-4548429612239.353,7.15842163097937e-12,8826,1412073922736.6418
10643,9791,8812,8551,10297,11944,10763,1,113042549,-4956596610172358475,-918079544304.2334,1.0,-4282247243410.831,7.685480490905303e-12,8812,1440678141563.334
10603,9758,8852,8694,11195,12382,10649,1,111728244,-5962520281076394472,-915682038271.3914,1.0,-4919481476872.966,5.918401025871051e-12,8852,1520649446272.321
10651,9751,8811,8667,10953,12102,10598,1,110801006,-5610729186439664149,-914913980748.7548,1.0,-4721986907841.008,6.717568394963286e-12,8811,1487120298108.5476
10602,9686,8752,8528,10743,11760,10365,1,105120672,-4841400233279010248,-898575312067.2236,1.0,-4463091802183.474,7.856972219645059e-12,8752,1398120744255.8672
10717,9864,8921,8722,11475,12366,10305,1,104151493,-5960377466910204199,-942877974362.3301,1.0,-5110779798736.777,6.2392610779191705e-12,8921,1463889776528.9065
10747,9867,8883,8625,10437,11658,10306,1,103563752,-4371803785920986541,-941776811594.5713,1.0,-4367825125748.2236,9.25367813230798e-12,8883,1341169123422.5154
10767,9891,8915,8712,10937,12003,10497,1,108065436,-5272029085224771985,-949231691565.1666,1.0,-4734544504257.329,7.466069808023326e-12,8915,1455465689601.9192
10677,9815,8855,8639,10517,12152,10983,1,118263768,-5488715704092186265,-927776133337.4281,1.0,-4478630122837.511,6.825299278852124e-12,8855,1529658619700.3503
10599,9773,8833,8689,11114,12769,10842,1,115997474,-6777078631456351043,-914776913349.4608,1.0,-4958834243345.087,5.2997964850364054e-12,8833,1567638280460.965
10580,9704,8727,8532,10374,11555,10247,1,103011919,-4336703515796671209,-895809709255.7386,1.0,-4250036713691.55,9.093113051136761e-12,8727,1320566900966.229
10612,9746,8787,8616,10803,11980,10401,1,106411501,-5200447837760273463,-908612976259.7821,1.0,-4593146859240.09,7.27677814631641e-12,8787,1411403479489.045
10653,9782,8808,8583,10758,11992,10338,1,104557333,-5159407450331977392,-917681561069.3523,1.0,-4560119122588.893,7.481971315706076e-12,8808,1390590367267.218
10546,9721,8778,8656,11122,12602,10561,1,110255775,-6406079485899915598,-899715727999.7999,1.0,-4911184504743.921,5.613159582244562e-12,8778,1490339343219.5547
10253,9364,8356,7946,9328,9634,8934,1,76160932,-1422495977982071372,-802089931599.8983,1.0,-3186653662073.064,7.272118229164612e-11,8356,913551341644.1245
10268,9442,8585,8444,10912,12257,10490,1,108570502,-5561240730508064575,-832150407757.802,1.0,-4570346491751.524,5.842734921669419e-12,8585,1436153609910.495
10211,9321,8307,7955,9437,10189,9363,1,84377990,-2244137105180648925,-790472155940.4282,1.0,-3291409849444.1694,2.248913898606642e-11,8307,1016922994272.6837
10203,9355,8391,8075,9856,10889,9563,1,88437344,-3127844671363074429,-800750158528.8202,1.0,-3631260587077.168,1.2377518276672992e-11,8391,1095981370156.6193
10255,9358,8413,8100,9793,10926,9840,1,93754262,-3254079207606696227,-807201204588.082,1.0,-3616848482714.785,1.1860848261002806e-11,8413,1155821389362.1775
10288,9484,8653,8495,11111,13069,10940,1,117965031,-6978760365269909747,-844114603204.3558,1.0,-4881432057379.836,4.534086615235459e-12,8653,1581073441133.1099
10191,9335,8373,8031,9871,10651,9576,1,88433056,-2853158516274071067,-796386488236.6097,1.0,-3569409093129.471,1.4155821083175477e-11,8373,1101704534854.7876
10227,9348,8428,8085,10426,10759,9348,1,84186825,-3034175107458966548,-805570737475.1981,1.0,-3867379584373.285,1.2673117418852483e-11,8428,1105551191676.1995
10202,9314,8370,8023,10180,10760,9338,1,83966005,-3045412733148450254,-795167955011.375,1.0,-3726827360111.723,1.2914387535164336e-11,8370,1081970396682.4181
10237,9373,8421,8122,10083,11005,10038,1,97768869,-3516298502540700555,-807843152814.3317,1.0,-3756511614304.504,1.0865070048262436e-11,8421,1235074587242.005
10205,9303,8307,7905,9375,10212,9304,1,82832114,-2212638592570233165,-788482603840.3884,1.0,-3245332847880.971,2.191799415237233e-11,8307,996964004694.8357
10271,9368,8408,8100,9776,10896,9918,1,95320630,-3273545341928937256,-808843637037.5522,1.0,-3602658260749.786,1.2094180977568954e-11,8408,1174706649222.9192
10176,9295,8310,7928,9392,9871,9055,1,78541703,-1749974426812682340,-785848966448.0588,1.0,-3222300707163.0645,3.4068923319168405e-11,8310,942998642885.7762
10199,9332,8352,8011,9614,10010,9062,1,79037443,-1921656946744800096,-794757085599.5726,1.0,-3375635434677.624,2.818482688953295e-11,8352,964093910203.9012
10171,9303,8302,7942,9608,10551,9613,1,88957341,-2772264771624306686,-785381687151.301,1.0,-3394904789511.0864,1.5440742294535663e-11,8302,1087756793408.1416
10196,9330,8361,8059,9989,11503,10211,1,101189739,-4311299451859218339,-795203442064.9999,1.0,-3766872654808.664,8.53389275450859e-12,8361,1270077343564.4927
10232,9337,8365,8002,9552,9952,9039,1,78430068,-1829488174567870772,-798998340433.5708,1.0,-3341699587460.6455,3.126724954648131e-11,8365,954618118049.1744
