B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
10639,9849,9123,9068,11890,12720,10841,1,-12.494877258467511,9072038.919847336,-471255426484.3311,-3.915179749319297e+16,10639.0,-4.946199841468102e+26
10631,9875,9116,9060,11735,12946,11229,1,-11.843932321268023,9894031.721112473,-433793377464.9122,-3.9153284445788296e+16,10631.0,-5.083942667960967e+26
10675,9950,9228,9263,12095,13011,11243,1,-10.172237509588573,9331206.03570728,-459902439942.4626,-4.195506570123933e+16,10675.0,-5.2397308179713185e+26
10759,9917,8922,8534,10079,11140,10884,1,-18.302211757363363,13379742.480683148,-49453052766.776634,-3.1613816627997616e+16,10759.0,-2.3021431557590228e+26
10655,9791,8845,8618,10947,11823,10195,1,-23.936748709440746,11708432.034762649,-358451752268.9409,-3.303228360377977e+16,10655.0,-3.598696214940532e+26
10599,9732,8759,8469,10100,11323,10330,1,-34.62682243538551,12381091.083632628,-199799817662.76257,-3.0079495754876812e+16,10599.0,-2.281858071279237e+26
10651,9912,9171,9115,11806,12836,11245,1,-10.895420643716266,9632058.902686715,-398858324275.7193,-3.993590158008889e+16,10651.0,-5.044159181437657e+26
10627,9877,9122,9088,11857,12765,11068,1,-10.908444246819988,9686211.446259517,-424142352661.52344,-3.950646330532283e+16,10627.0,-5.0042263670979296e+26
10634,9768,8849,8620,10831,11659,10295,1,-20.333612143872475,11434598.361494932,-292535105333.626,-3.276609522393494e+16,10634.0,-3.3841836579145736e+26
10585,9785,9022,8949,11575,12366,10726,1,-12.813066125712384,9524959.349366141,-390944400775.2422,-3.709679905699579e+16,10585.0,-4.392929420683112e+26
10610,9732,8858,8609,12516,12499,9888,1,-11.194546805389715,10229610.019319491,-636306839451.4833,-3.608522852839542e+16,10610.0,-6.1818178735786275e+26
10692,9914,9048,8828,10798,11671,10746,1,-17.001052664274827,11108941.435235543,-199028550277.00705,-3.501402579099115e+16,10692.0,-3.1773569172236715e+26
10706,9917,8954,8634,10226,11020,10621,1,-18.687559035418694,12529112.123830236,-77562192436.20285,-3.2327320666123384e+16,10706.0,-2.2632722727126503e+26
10626,9746,8819,8589,10442,11502,10191,1,-35.053472497076335,11479725.267534526,-275894518027.04156,-3.153359421853396e+16,10626.0,-2.684105843087961e+26
10590,9733,8785,8511,10121,11292,10328,1,-33.4995473820652,11991369.027525052,-194141442784.8153,-3.037774125399135e+16,10590.0,-2.23551019554786e+26
10672,9827,8872,8687,11022,12621,10782,1,-24.542978329149406,12510538.644610634,-437847305488.0495,-3.4223199151229984e+16,10672.0,-4.326300356480948e+26
10559,9703,8782,8549,12068,12699,10299,1,-11.667851627963977,11368685.390955256,-582028178713.3431,-3.4751812804540824e+16,10559.0,-6.016317013844099e+26
10537,9661,8743,8534,10964,11957,10308,1,-19.12334760258129,11434375.390672361,-363651521077.3665,-3.204983693541514e+16,10537.0,-3.791420290410244e+26
10614,9834,9074,9024,11678,12402,10796,1,-11.967610420034214,9533748.11860166,-386433549629.67096,-3.815756646429675e+16,10614.0,-4.4904196200506544e+26
