B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10671,9826,8933,8773,11402,12534,10623,1,-8.319885529536585,8933.0,-100378385.0,10462.000001441593,113870241.0,2406364335195.0,2217691441779.0
10612,9826,9023,8884,11301,12019,10898,1,-6.985120258993401,9023.0,-103587946.0,10758.00000077112,112614544.0,2443328602764.0,2333997382020.0
10533,9744,8935,8758,11097,11779,10483,1,-10.019784264318691,8935.0,-97305729.99999999,10305.000001215656,110944089.0,2301209856732.0,2141600426565.0
10571,9796,8981,8798,11051,11913,10779,1,-8.9595860681999,8981.0,-99535722.0,10595.000000520398,111746041.0,2375407443794.0,2276332599443.0
10668,9803,8894,8751,11794,12421,10301,1,-7.472903451658018,8894.0,-101182229.0,10157.000002852716,113806224.0,2373317406264.0,2080404453874.0
10656,9868,9053,8946,11534,12691,11336,1,-5.069843839406437,9053.0,-110075960.0,11228.0000003584,113550336.0,2585284905888.0,2536172638112.0
10672,9890,9073,8969,11545,12479,11054,1,-5.848942823199752,9073.0,-107777296.00000001,10949.000000918508,113891584.0,2528650263952.0,2416936329152.0
10679,9931,9228,9224,12132,12982,11094,1,-4.2222760270505875,9228.0,-116760799.0,11089.0000020369,114041041.0,2613865970717.0,2444552127311.0
10682,9798,8891,8734,11604,12230,10319,1,-8.688630572899429,8891.0,-99159901.99999999,10161.000002448553,114105124.0,2359090206998.0,2086616599238.0
10636,9772,8863,8690,11287,12088,10309,1,-11.130868003220575,8863.0,-95946781.99999997,10135.000001870907,113124496.0,2309046159552.0,2077048011300.0
10639,9787,8843,8633,10753,11911,10500,1,-19.963256289523134,8843.0,-91762218.0,10289.000000468632,113188321.0,2294513140639.0,2158033510639.0
10652,9800,8870,8640,10467,11786,10572,1,-40.10234030456193,8870.0,-89529080.00000003,10340.999999806529,113465104.0,2282326546700.0,2190636817052.0
10656,9847,8939,8734,10785,12062,10717,1,-15.317729330262653,8939.0,-94872541.00000001,10511.000000125108,113550336.0,2356181673120.0,2261936439422.0
10669,9839,8912,8714,10755,11878,10681,1,-16.835378863937468,8912.0,-93920387.99999999,10482.000000136497,113827561.0,2346801410535.0,2244940259627.0
10647,9811,8915,8756,12180,12416,10187,1,-6.227889762868781,8915.0,-104237635.0,10027.000003865662,113358609.0,2385165619746.0,2036272452365.0
10696,9836,8897,8738,10936,12222,10531,1,-15.314641000834666,8897.0,-94380518.00000001,10371.000000751937,114404416.0,2339749283368.0,2181663387488.0
10636,9778,8846,8617,11981,12523,10166,1,-7.295272525043402,8846.0,-100751832.00000003,9936.00000339201,113124496.0,2352704418820.0,2021064815772.0
10625,9760,8839,8611,11444,12597,10569,1,-8.143259167900249,8839.0,-99003099.00000001,10340.000001572942,112890625.0,2381116443125.0,2180457425345.0
10640,9778,8812,8583,10493,11864,10512,1,-39.65775632634693,8812.0,-88787129.99999999,10281.999999965281,113209600.0,2267264331920.0,2160979938704.0
10711,9841,8909,8689,10565,11835,10524,1,-45.185103530935756,8909.0,-90006250.0,10303.000000075683,114725521.0,2300216651695.0,2179871575543.0
