B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2
10189,9282,8358,7973,10800,11309,9451,1,-5.240381880429553e-13,9.46816622359512e-25
10220,9331,8251,7859,9088,9554,8806,1,-9.143238438995229e-13,2.839720762359057e-24
10151,9265,8328,7923,10790,11531,9259,1,-5.3166989033205e-13,8.899983145077508e-25
10107,9194,8263,7783,11820,11382,8755,1,-4.145369189124013e-13,6.823361438112997e-25
10126,9261,8405,7941,12148,11942,9158,1,-3.793127840527442e-13,5.959232586540321e-25
10273,9386,8353,7971,9682,9847,9061,1,-7.520677483856184e-13,1.9494863028850456e-24
10255,9371,8348,7999,9735,9967,9240,1,-7.319069819501324e-13,1.9041003742800038e-24
10258,9356,8317,7941,9422,9901,8966,1,-8.197089237934362e-13,2.2012065898443528e-24
10184,9287,8375,8004,11376,11812,9499,1,-4.498307410737275e-13,7.387631377254536e-25
10143,9253,8320,7935,11080,11677,9416,1,-4.846650528200491e-13,8.084890643954641e-25
10154,9279,8316,7925,10542,10968,9257,1,-5.703245721443366e-13,1.080718282218266e-24
10247,9364,8338,7952,9714,10060,8962,1,-7.51202058912459e-13,1.8064491021622133e-24
10216,9320,8303,7911,9883,10282,9301,1,-6.823164695900083e-13,1.5907471883262593e-24
10311,9415,8339,7956,9204,9641,9407,1,-8.369659460205317e-13,2.755117875879526e-24
10256,9388,8367,8027,9627,10032,9125,1,-7.716542015553434e-13,2.0048696180865502e-24
10259,9367,8358,8032,9898,10358,9082,1,-7.140333946708433e-13,1.6199835397943402e-24
10200,9316,8323,7980,10313,10775,9125,1,-6.23760234612791e-13,1.2287254114161449e-24
10194,9269,8279,7901,10071,10499,9088,1,-6.596801072594151e-13,1.3978047335912882e-24
10210,9297,8219,7850,9168,9694,9026,1,-8.677496123879188e-13,2.6233160601428913e-24
10209,9312,8258,7870,9467,10464,9288,1,-7.698514335584679e-13,1.8426919030385523e-24
10277,9389,8344,7976,9493,9955,9171,1,-7.889996272131563e-13,2.1299164354957076e-24
10492,9434,8457,8168,10109,10630,9411,1,-6.540528059842373e-13,1.440596131338822e-24
10286,9417,8366,8015,9665,9987,9051,1,-7.642903803214725e-13,1.9375538390108592e-24
10418,9427,8372,8026,9474,9816,9099,1,-7.991349990066971e-13,2.240769568511596e-24
10434,9454,8474,8185,9746,10301,9458,1,-7.333444411054531e-13,1.907722611878016e-24
10206,9307,8313,7995,10241,10830,9453,1,-6.168571682424044e-13,1.2783629026413017e-24
10312,9401,8423,8108,10141,10478,9192,1,-6.650161799233834e-13,1.45396821489298e-24
10204,9342,8355,8057,10088,10692,9349,1,-6.628204463871721e-13,1.4323850944198557e-24
10197,9299,8292,7972,9916,10872,9574,1,-6.676658806881498e-13,1.4496120777634826e-24
10276,9393,8343,7978,9234,9880,9092,1,-8.652366968177567e-13,2.572816596276763e-24
10184,9323,8313,7995,9565,10203,9214,1,-7.78422560865256e-13,2.015216822376371e-24
10335,9439,8445,8120,9323,10203,9399,1,-8.376312573364243e-13,2.5027544337503278e-24
10310,9439,8418,8124,9425,10062,9346,1,-8.181092646852908e-13,2.4126203940760876e-24
10520,9400,8360,8047,9375,9750,9105,1,-8.204620229735026e-13,2.4615883773712585e-24
10311,9432,8446,8158,9756,10220,9318,1,-7.459823189358524e-13,1.9284214770536272e-24
10232,9419,8487,8294,10240,10880,9635,1,-6.498542172860616e-13,1.44924330073526e-24
10210,9362,8435,8221,10294,10740,9443,1,-6.426301138888762e-13,1.415606308879104e-24
10230,9280,8178,7666,9994,9513,8103,1,-7.102285429183464e-13,1.5313505814964416e-24
10328,9409,8354,7849,11060,10135,8194,1,-5.380852513155668e-13,9.737253604325181e-25
10436,9587,8600,8316,10672,10734,9231,1,-5.906207356475306e-13,1.1529295029376768e-24
10290,9383,8319,7836,11134,10404,8331,1,-5.189466281829278e-13,9.108691449267895e-25
10307,9367,8227,7715,9819,9587,8106,1,-7.525428005201745e-13,1.597636501465194e-24
10398,9519,8471,8179,10422,10309,8872,1,-6.405836705614494e-13,1.3182371594408747e-24
10335,9370,8268,7767,10875,10612,8571,1,-5.295132566346659e-13,9.139204064079664e-25
10304,9429,8352,7936,10372,10038,8602,1,-6.368109254466927e-13,1.300431894887619e-24
10266,9300,8131,7603,10131,9576,7919,1,-6.838194227064262e-13,1.3658467348389808e-24
10292,9380,8262,7802,10106,9877,8481,1,-6.756583830048951e-13,1.4108497215612388e-24
10279,9339,8250,7724,10285,10549,8652,1,-6.166010575989265e-13,1.1099472407816942e-24
10224,9269,8109,7560,9970,9516,8119,1,-6.947598837843716e-13,1.4724527611638555e-24
10635,9703,8556,8033,10138,9729,8705,1,-6.68948067677822e-13,1.4364823671834229e-24
10722,9819,8664,8158,9454,9310,8653,1,-8.489421590074096e-13,2.4176520451559165e-24
10747,9841,8719,8237,9333,9442,8917,1,-8.709000569762083e-13,2.7709706331891242e-24
10673,9774,8666,8179,9198,9352,8972,1,-8.977272875909759e-13,3.1110297552218142e-24
10591,9683,8600,8081,9214,9506,9017,1,-8.741511878865536e-13,2.7723535359013737e-24
10580,9673,8558,8077,10315,10531,9765,1,-5.753532273125768e-13,1.2040850584722998e-24
10634,9710,8597,8132,10015,10450,9274,1,-6.675412866979213e-13,1.3860167904417732e-24
10637,9744,8614,8123,9426,9527,8993,1,-8.236199307374541e-13,2.377047251067725e-24
10739,9838,8739,8277,9903,9795,8937,1,-7.350044575430218e-13,1.7676664435238042e-24
10724,9855,8774,8313,10104,9990,9317,1,-6.705059677143691e-13,1.5727820630692363e-24
10791,9889,8792,8314,10212,10079,8962,1,-6.711521562802739e-13,1.4103532107520418e-24
10736,9855,8784,8331,9665,9878,9226,1,-7.761269084315106e-13,2.1127982004799648e-24
