B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
10533,9744,8935,8758,11097,11779,10483,1,0.2562854825628548,1.1787447850334132,-1.1379509597701845e+28,8935.0,2035.0,297204013.5813637,1775.0,-103160969.0,11779.0
10571,9796,8981,8798,11051,11913,10779,1,0.2653153560763732,1.1769387455778506,-1.2098334060176324e+28,8981.0,2117.0,304567117.43694365,1773.0,-104810893.0,11913.0
10668,9803,8894,8751,11794,12421,10301,1,0.2990503645921655,1.199358376048468,-1.245541732761065e+28,8894.0,2618.0,326843876.8248467,1917.0,-108697382.0,12421.0
10656,9868,9053,8946,11534,12691,11336,1,0.3154152939136466,1.1769675953973477,-1.492996624559404e+28,9053.0,2823.0,344752022.3359138,1710.0,-113534226.0,12691.0
10672,9890,9073,8969,11545,12479,11054,1,0.2950194889562581,1.176136299519323,-1.4307851961593159e+28,9073.0,2589.0,333388253.44069844,1703.0,-111924759.0,12479.0
10679,9931,9228,9224,12132,12982,11094,1,0.3094296076491922,1.157138247932175,-1.6473538268243068e+28,9228.0,3051.0,358589734.1581061,1455.0,-119747153.0,12982.0
10682,9798,8891,8734,11604,12230,10319,1,0.2877456049638056,1.2013376839725063,-1.2107220843107924e+28,8891.0,2432.0,317860075.14139867,1948.0,-106817824.0,12230.0
10636,9772,8863,8690,11287,12088,10309,1,0.2857269425002215,1.1999429136264073,-1.1311754257052393e+28,8863.0,2316.0,309206489.01792496,1946.0,-105045590.0,12088.0
10639,9787,8843,8633,10753,11911,10500,1,0.28531572584395054,1.2029967666423371,-1.0605666193221637e+28,8843.0,2124.0,299097698.47158974,2006.0,-102828130.0,11911.0
10652,9800,8870,8640,10467,11786,10572,1,0.27858985382631124,1.2007988019480544,-1.0262121680812804e+28,8870.0,1986.0,291991132.8581402,2012.0,-101831324.0,11786.0
10656,9847,8939,8734,10785,12062,10717,1,0.28956884561891516,1.191979742480696,-1.1375195037710277e+28,8939.0,2215.0,306668748.01117027,1922.0,-105349945.0,12062.0
